,Movie,Year of release,Genre,Directed by,Starring,Synopsis,Box Office Gross in Million Dollars,Duration in minutes,IMDB User Rating,Metascore from Metacritic
10,Leon,1994,"['Action, Crime, Drama']",Luc Besson ,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","[""Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.""]",19.50,110,8.5,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""9451285a-79d4-4245-a890-e9c2efd7100d"")>"
11,Hot Fuzz,2007,"['Action, Comedy, Mystery']",Edgar Wright ,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy",['A skilled London police officer is transferred to a small town with a dark secret.'],23.64,121,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""a0148c9f-355f-4c54-b439-2c7b66b8b7d4"")>"
12,Kill Bill: Vol. 2,2004,"['Action, Crime, Thriller']",Quentin Tarantino ,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah","['The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.']",66.21,137,8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""7ab876d6-0a96-4ec8-9af2-dae02978d47f"")>"
13,Casino Royale,2006,"['Action, Adventure, Thriller']",Martin Campbell ,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright","['After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.']",167.45,144,8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""c3a5a828-00af-412e-bd2b-590204ca28b3"")>"
14,Apocalypto,2006,"['Action, Adventure, Drama']",Mel Gibson ,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood","['As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.']",50.87,139,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""f57ca3fe-604a-443e-9934-efb04ac74d5c"")>"
15,Mad Max: Fury Road,2015,"['Action, Adventure, Sci-Fi']",George Miller ,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz","['In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.']",154.06,120,8.1,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""132d0ffb-0227-4321-bfda-c8b394db1e42"")>"
16,The Revenant,2015,"['Action, Adventure, Drama']",Alejandro G. Iñárritu ,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",['A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.'],183.64,156,8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""07eeeae8-1495-4500-b3af-073e31c788c2"")>"
17,Die Hard,1988,"['Action, Thriller']",John McTiernan ,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",['An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.'],83.01,132,8.2,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""690c6872-5305-49a9-b2f3-441ba9b24920"")>"
18,The Fugitive,1993,"['Action, Crime, Drama']",Andrew Davis ,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","['Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.']",183.88,130,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""51d0bf37-64d7-4bfc-a3ba-1bd9bf79f37d"")>"
19,Indiana Jones and the Last Crusade,1989,"['Action, Adventure']",Steven Spielberg ,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott","['In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler\'s Nazis again to stop them from obtaining its powers.']",197.17,127,8.2,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""5f489555-9bfc-41d5-9a65-baf3186d0c3f"")>"
